Modello: cnn

Epoch 82/100 | Loss: 0.6648 | Train: 99.66% | Val: 99.02%
Epoch 83/100 | Loss: 0.6666 | Train: 99.95% | Val: 98.15%
Epoch 84/100 | Loss: 0.6572 | Train: 99.95% | Val: 99.90%
Epoch 85/100 | Loss: 0.6361 | Train: 100.00% | Val: 99.41%
Epoch 86/100 | Loss: 0.6155 | Train: 99.90% | Val: 99.12%
Epoch 87/100 | Loss: 0.6751 | Train: 99.95% | Val: 99.51%
Epoch 88/100 | Loss: 0.6392 | Train: 99.80% | Val: 96.29%
Epoch 89/100 | Loss: 0.6674 | Train: 99.61% | Val: 93.37%
Epoch 90/100 | Loss: 0.6892 | Train: 99.80% | Val: 99.12%
Epoch 91/100 | Loss: 0.6371 | Train: 99.90% | Val: 98.83%
Epoch 92/100 | Loss: 0.6100 | Train: 99.85% | Val: 98.34%
Epoch 93/100 | Loss: 0.6884 | Train: 99.56% | Val: 96.00%
Epoch 94/100 | Loss: 0.6935 | Train: 99.46% | Val: 98.44%
Epoch 95/100 | Loss: 0.6857 | Train: 99.76% | Val: 99.71%
Epoch 96/100 | Loss: 0.6345 | Train: 99.85% | Val: 99.51%
Epoch 97/100 | Loss: 0.6840 | Train: 99.90% | Val: 99.71%
Epoch 98/100 | Loss: 0.6780 | Train: 99.76% | Val: 83.22%
Epoch 99/100 | Loss: 0.6883 | Train: 99.46% | Val: 98.63%
Epoch 100/100 | Loss: 0.6673 | Train: 99.80% | Val: 99.71%
